"","Cell","Batch","Patient","Channel","Group","ExpLibSize"
"Cell64","Cell64","Batch1","Patient4","Channel1","HospMild_COVID",40386.916877068
"Cell65","Cell65","Batch1","Patient10","Channel1","Flu",53863.4542913837
"Cell66","Cell66","Batch1","Patient7","Channel1","HcwMild_COVID",109248.968701724
"Cell67","Cell67","Batch1","Patient3","Channel1","Healthy",74708.1653367346
"Cell68","Cell68","Batch1","Patient4","Channel1","HospMild_COVID",138483.142827362
"Cell69","Cell69","Batch1","Patient6","Channel1","Healthy",81990.5973109317
"Cell70","Cell70","Batch1","Patient1","Channel1","HospMild_COVID",79857.1752414541
"Cell71","Cell71","Batch1","Patient5","Channel1","Severe_COVID",65138.056256334
"Cell72","Cell72","Batch1","Patient7","Channel1","Severe_COVID",39919.8591896319
"Cell73","Cell73","Batch1","Patient11","Channel1","HospMild_COVID",55804.2517892275
"Cell74","Cell74","Batch1","Patient3","Channel1","Healthy",63401.8128988621
"Cell75","Cell75","Batch1","Patient1","Channel1","HcwMild_COVID",51861.5085121526
"Cell76","Cell76","Batch1","Patient8","Channel1","Healthy",48959.7237084766
"Cell77","Cell77","Batch1","Patient8","Channel1","Flu",36007.8962166282
"Cell78","Cell78","Batch1","Patient3","Channel1","Severe_COVID",69336.9192560858
"Cell79","Cell79","Batch1","Patient4","Channel1","HcwMild_COVID",47782.7654796045
"Cell80","Cell80","Batch1","Patient4","Channel1","Severe_COVID",43386.2512124267
"Cell81","Cell81","Batch1","Patient12","Channel1","Flu",117536.881829556
"Cell82","Cell82","Batch1","Patient3","Channel1","HcwMild_COVID",46249.5847960018
"Cell83","Cell83","Batch1","Patient13","Channel1","HospMild_COVID",100175.273660459
"Cell84","Cell84","Batch1","Patient3","Channel1","Severe_COVID",68083.025709524
"Cell85","Cell85","Batch1","Patient2","Channel1","HospMild_COVID",44197.9026236447
"Cell86","Cell86","Batch1","Patient1","Channel1","Flu",69261.1048092567
"Cell87","Cell87","Batch1","Patient8","Channel1","Flu",68984.9878034813
"Cell88","Cell88","Batch1","Patient4","Channel1","HospMild_COVID",59964.9777228608
"Cell89","Cell89","Batch1","Patient10","Channel1","Severe_COVID",36922.8696657149
"Cell90","Cell90","Batch1","Patient3","Channel1","HcwMild_COVID",74171.8034682435
"Cell91","Cell91","Batch1","Patient4","Channel1","Flu",96133.0091597153
"Cell92","Cell92","Batch1","Patient1","Channel1","HospMild_COVID",60756.508925609
"Cell93","Cell93","Batch1","Patient2","Channel1","Severe_COVID",45378.3897520376
"Cell94","Cell94","Batch1","Patient1","Channel1","Flu",64855.5267676232
"Cell95","Cell95","Batch1","Patient14","Channel1","HcwMild_COVID",42910.0147944851
"Cell96","Cell96","Batch1","Patient7","Channel1","Healthy",52970.3314807173
"Cell97","Cell97","Batch1","Patient5","Channel1","Healthy",52392.6750420185
"Cell98","Cell98","Batch1","Patient4","Channel1","HcwMild_COVID",66535.2951284923
"Cell99","Cell99","Batch1","Patient12","Channel1","HcwMild_COVID",41191.1487303145
"Cell100","Cell100","Batch1","Patient9","Channel1","Healthy",79185.3253835863
"Cell101","Cell101","Batch1","Patient5","Channel1","Severe_COVID",73242.3774701476
"Cell102","Cell102","Batch1","Patient3","Channel1","Severe_COVID",55839.0846427517
"Cell103","Cell103","Batch1","Patient5","Channel1","HospMild_COVID",115436.983615299
"Cell104","Cell104","Batch1","Patient4","Channel1","HcwMild_COVID",85654.5818734157
"Cell105","Cell105","Batch1","Patient9","Channel1","HcwMild_COVID",83279.0768890395
"Cell106","Cell106","Batch1","Patient4","Channel1","Severe_COVID",59231.050021128
"Cell107","Cell107","Batch1","Patient13","Channel1","Healthy",42239.1632406335
"Cell108","Cell108","Batch1","Patient3","Channel1","Flu",63914.4403021016
"Cell109","Cell109","Batch1","Patient5","Channel1","Flu",55762.9981105622
"Cell110","Cell110","Batch1","Patient7","Channel1","HospMild_COVID",47555.8152359562
"Cell111","Cell111","Batch1","Patient1","Channel1","Flu",60415.9038606951
"Cell112","Cell112","Batch1","Patient10","Channel1","Flu",67421.4348217693
"Cell113","Cell113","Batch1","Patient3","Channel1","Flu",68302.9976105527
"Cell114","Cell114","Batch1","Patient4","Channel1","Healthy",35768.0001275931
"Cell115","Cell115","Batch1","Patient11","Channel1","Severe_COVID",105908.740194491
"Cell116","Cell116","Batch1","Patient2","Channel1","HospMild_COVID",40663.8671784574
"Cell117","Cell117","Batch1","Patient6","Channel1","HcwMild_COVID",47796.3496047277
"Cell118","Cell118","Batch1","Patient11","Channel1","Healthy",48409.3879646281
"Cell119","Cell119","Batch1","Patient4","Channel1","Healthy",49841.6063209877
"Cell120","Cell120","Batch1","Patient8","Channel1","HospMild_COVID",76987.5694001318
"Cell121","Cell121","Batch1","Patient8","Channel1","Severe_COVID",48363.5945361731
"Cell122","Cell122","Batch1","Patient13","Channel1","HcwMild_COVID",57678.3121412217
"Cell123","Cell123","Batch1","Patient2","Channel1","HcwMild_COVID",46651.9846342192
"Cell124","Cell124","Batch1","Patient9","Channel1","Flu",43189.1516914366
"Cell125","Cell125","Batch1","Patient11","Channel1","HcwMild_COVID",81772.8371328433
"Cell126","Cell126","Batch1","Patient13","Channel1","Healthy",78309.070815448
"Cell127","Cell127","Batch1","Patient9","Channel1","Flu",70700.1491433911
"Cell128","Cell128","Batch1","Patient8","Channel1","Healthy",65979.6560980336
"Cell129","Cell129","Batch1","Patient1","Channel1","HospMild_COVID",39401.7524906931
"Cell130","Cell130","Batch1","Patient6","Channel1","Flu",73175.3802177639
"Cell131","Cell131","Batch1","Patient11","Channel1","Healthy",105088.76603485
"Cell132","Cell132","Batch1","Patient3","Channel1","HospMild_COVID",75938.53719698
"Cell133","Cell133","Batch1","Patient6","Channel1","Healthy",28331.7494734112
"Cell134","Cell134","Batch1","Patient6","Channel1","Flu",74023.179128293
"Cell135","Cell135","Batch1","Patient4","Channel1","HcwMild_COVID",62359.8434864223
"Cell136","Cell136","Batch1","Patient5","Channel1","HcwMild_COVID",25448.6314752733
"Cell137","Cell137","Batch1","Patient5","Channel1","Severe_COVID",41249.8491336513
"Cell138","Cell138","Batch1","Patient5","Channel1","Flu",58254.6898860349
"Cell139","Cell139","Batch1","Patient10","Channel1","Healthy",84816.4165119328
"Cell140","Cell140","Batch1","Patient6","Channel1","Healthy",42847.9858137223
"Cell141","Cell141","Batch2","Patient27","Channel2","Flu",79983.572142163
"Cell142","Cell142","Batch2","Patient23","Channel2","Flu",41120.7900718705
"Cell143","Cell143","Batch2","Patient18","Channel2","Healthy",44863.0849687516
"Cell144","Cell144","Batch2","Patient16","Channel2","HospMild_COVID",79938.4757111254
"Cell145","Cell145","Batch2","Patient22","Channel2","Severe_COVID",83354.7281683647
"Cell146","Cell146","Batch2","Patient19","Channel2","HcwMild_COVID",78310.8614173315
"Cell147","Cell147","Batch2","Patient21","Channel2","Healthy",82166.1636971288
"Cell148","Cell148","Batch2","Patient20","Channel2","HospMild_COVID",50466.502247069
"Cell149","Cell149","Batch2","Patient28","Channel2","HospMild_COVID",74769.037126409
"Cell150","Cell150","Batch2","Patient17","Channel2","HcwMild_COVID",68517.31390046
"Cell151","Cell151","Batch2","Patient15","Channel2","Healthy",111431.188632151
"Cell152","Cell152","Batch2","Patient27","Channel2","HcwMild_COVID",77870.10584878
"Cell153","Cell153","Batch2","Patient15","Channel2","HospMild_COVID",91420.7351604557
"Cell154","Cell154","Batch2","Patient28","Channel2","Flu",32986.353896818
"Cell155","Cell155","Batch2","Patient25","Channel2","Healthy",64998.0015969085
"Cell156","Cell156","Batch2","Patient28","Channel2","Flu",28088.212048535
"Cell157","Cell157","Batch2","Patient19","Channel2","Severe_COVID",45993.1859397115
"Cell158","Cell158","Batch2","Patient18","Channel2","Severe_COVID",74590.2810626181
"Cell159","Cell159","Batch2","Patient25","Channel2","Severe_COVID",59012.5567373533
"Cell160","Cell160","Batch2","Patient26","Channel2","Severe_COVID",99743.6781772791
"Cell161","Cell161","Batch2","Patient18","Channel2","HospMild_COVID",80913.6255478404
"Cell162","Cell162","Batch2","Patient15","Channel2","Severe_COVID",72658.316515834
"Cell163","Cell163","Batch2","Patient18","Channel2","Flu",83243.895506151
"Cell164","Cell164","Batch2","Patient22","Channel2","Severe_COVID",51002.2360733056
"Cell165","Cell165","Batch2","Patient26","Channel2","HospMild_COVID",49337.3329971944
"Cell166","Cell166","Batch2","Patient18","Channel2","HospMild_COVID",74166.8519335259
"Cell167","Cell167","Batch2","Patient28","Channel2","Healthy",103293.250054145
"Cell168","Cell168","Batch2","Patient20","Channel2","Healthy",86784.0668581718
"Cell169","Cell169","Batch2","Patient20","Channel2","HcwMild_COVID",87055.3320043118
"Cell170","Cell170","Batch2","Patient17","Channel2","Flu",65807.2664285721
"Cell171","Cell171","Batch2","Patient21","Channel2","HospMild_COVID",41343.4401592112
"Cell172","Cell172","Batch2","Patient28","Channel2","Severe_COVID",86610.1112142946
"Cell173","Cell173","Batch2","Patient27","Channel2","Flu",71186.715571176
"Cell174","Cell174","Batch2","Patient21","Channel2","Severe_COVID",93379.6844205363
"Cell175","Cell175","Batch2","Patient15","Channel2","HospMild_COVID",54005.7046203971
"Cell176","Cell176","Batch2","Patient26","Channel2","Flu",49769.3771701747
"Cell177","Cell177","Batch2","Patient17","Channel2","HospMild_COVID",43986.5446800488
"Cell178","Cell178","Batch2","Patient25","Channel2","Flu",65655.5613464399
"Cell179","Cell179","Batch2","Patient20","Channel2","HcwMild_COVID",45703.4541644673
"Cell180","Cell180","Batch2","Patient23","Channel2","Healthy",59062.0329995549
"Cell181","Cell181","Batch2","Patient26","Channel2","Flu",57565.8709089825
"Cell182","Cell182","Batch2","Patient28","Channel2","Healthy",48498.0567621576
"Cell183","Cell183","Batch2","Patient26","Channel2","HospMild_COVID",42282.5994732135
"Cell184","Cell184","Batch2","Patient27","Channel2","HcwMild_COVID",45839.0854254414
"Cell185","Cell185","Batch2","Patient22","Channel2","Healthy",62364.240047512
"Cell186","Cell186","Batch2","Patient16","Channel2","Flu",81740.5039966839
"Cell187","Cell187","Batch2","Patient20","Channel2","HcwMild_COVID",58223.0328055418
"Cell188","Cell188","Batch2","Patient24","Channel2","Flu",87281.3093492042
"Cell189","Cell189","Batch2","Patient21","Channel2","HospMild_COVID",86062.5412580598
"Cell190","Cell190","Batch2","Patient22","Channel2","Healthy",48121.5728357588
"Cell191","Cell191","Batch2","Patient21","Channel2","Flu",37541.3580124495
"Cell192","Cell192","Batch2","Patient27","Channel2","Healthy",55274.4695598847
"Cell193","Cell193","Batch2","Patient19","Channel2","HcwMild_COVID",39620.0492049543
"Cell194","Cell194","Batch2","Patient23","Channel2","HcwMild_COVID",41872.602661226
"Cell195","Cell195","Batch2","Patient27","Channel2","Severe_COVID",79900.051039022
"Cell196","Cell196","Batch2","Patient21","Channel2","HospMild_COVID",49489.376819161
"Cell197","Cell197","Batch2","Patient24","Channel2","HcwMild_COVID",40746.4855704612
"Cell198","Cell198","Batch2","Patient23","Channel2","Healthy",28443.5429318488
"Cell199","Cell199","Batch2","Patient26","Channel2","HospMild_COVID",34510.7355825742
"Cell200","Cell200","Batch2","Patient26","Channel2","Healthy",56933.4201112763
"Cell201","Cell201","Batch2","Patient18","Channel2","HospMild_COVID",108603.952298138
"Cell202","Cell202","Batch2","Patient19","Channel2","HcwMild_COVID",27612.2665643218
"Cell203","Cell203","Batch2","Patient15","Channel2","Severe_COVID",60942.0107663333
"Cell204","Cell204","Batch2","Patient20","Channel2","Healthy",89707.7238624617
"Cell205","Cell205","Batch2","Patient26","Channel2","Flu",120190.957763869
"Cell206","Cell206","Batch2","Patient28","Channel2","HospMild_COVID",72105.9538148339
"Cell207","Cell207","Batch2","Patient25","Channel2","HospMild_COVID",76262.958844571
"Cell208","Cell208","Batch2","Patient18","Channel2","Healthy",77095.4083617873
"Cell209","Cell209","Batch2","Patient26","Channel2","HospMild_COVID",51585.4177307727
"Cell210","Cell210","Batch2","Patient19","Channel2","HospMild_COVID",60090.65556795
"Cell211","Cell211","Batch2","Patient28","Channel2","Severe_COVID",60758.4870999486
"Cell212","Cell212","Batch2","Patient19","Channel2","Flu",49852.8607403804
"Cell213","Cell213","Batch2","Patient19","Channel2","HospMild_COVID",69846.0213554838
"Cell214","Cell214","Batch2","Patient20","Channel2","Severe_COVID",43833.7896064859
"Cell215","Cell215","Batch2","Patient24","Channel2","HospMild_COVID",42341.6812156258
"Cell216","Cell216","Batch2","Patient25","Channel2","Healthy",39751.4016228016
"Cell217","Cell217","Batch2","Patient15","Channel2","HospMild_COVID",56370.2031915363
"Cell218","Cell218","Batch2","Patient27","Channel2","Flu",39437.945888339
"Cell219","Cell219","Batch2","Patient23","Channel2","Healthy",35479.3773859066
"Cell220","Cell220","Batch2","Patient18","Channel2","HospMild_COVID",61556.5091950957
"Cell221","Cell221","Batch2","Patient17","Channel2","Severe_COVID",33234.2597958071
"Cell222","Cell222","Batch2","Patient21","Channel2","Severe_COVID",35605.7663628137
"Cell223","Cell223","Batch2","Patient26","Channel2","Flu",47198.551273553
"Cell224","Cell224","Batch2","Patient23","Channel2","Flu",97689.4015915025
"Cell225","Cell225","Batch2","Patient21","Channel2","HcwMild_COVID",67579.9385741834
"Cell226","Cell226","Batch2","Patient20","Channel2","HcwMild_COVID",56246.2758071569
"Cell227","Cell227","Batch2","Patient16","Channel2","Severe_COVID",57731.0740925934
"Cell228","Cell228","Batch2","Patient27","Channel2","HcwMild_COVID",76978.6005235691
"Cell229","Cell229","Batch2","Patient24","Channel2","Flu",52597.2865431347
"Cell230","Cell230","Batch2","Patient24","Channel2","HcwMild_COVID",66411.3013785599
"Cell231","Cell231","Batch2","Patient15","Channel2","HcwMild_COVID",74941.767839797
"Cell232","Cell232","Batch2","Patient23","Channel2","HospMild_COVID",57387.7313728456
"Cell233","Cell233","Batch2","Patient26","Channel2","Healthy",34625.3000936529
"Cell234","Cell234","Batch2","Patient18","Channel2","HospMild_COVID",56943.0235292212
"Cell235","Cell235","Batch2","Patient24","Channel2","HospMild_COVID",30441.6854799353
"Cell236","Cell236","Batch2","Patient18","Channel2","HospMild_COVID",84418.9306740038
"Cell237","Cell237","Batch2","Patient23","Channel2","HospMild_COVID",47554.0542503606
"Cell238","Cell238","Batch2","Patient23","Channel2","HcwMild_COVID",62639.6363942779
"Cell239","Cell239","Batch2","Patient16","Channel2","HospMild_COVID",58674.1181281864
"Cell240","Cell240","Batch2","Patient25","Channel2","Severe_COVID",52739.7121109989
"Cell241","Cell241","Batch2","Patient25","Channel2","Severe_COVID",63416.7526845298
"Cell242","Cell242","Batch2","Patient27","Channel2","HospMild_COVID",141390.317776357
"Cell243","Cell243","Batch2","Patient24","Channel2","Severe_COVID",41404.6998773249
"Cell244","Cell244","Batch2","Patient26","Channel2","Severe_COVID",54343.6740800178
"Cell245","Cell245","Batch2","Patient25","Channel2","HospMild_COVID",57310.7824090821
"Cell246","Cell246","Batch2","Patient16","Channel2","HcwMild_COVID",62118.902483576
"Cell247","Cell247","Batch2","Patient19","Channel2","Severe_COVID",47438.6651173816
"Cell248","Cell248","Batch2","Patient19","Channel2","HospMild_COVID",45660.232639509
"Cell249","Cell249","Batch2","Patient25","Channel2","HospMild_COVID",61018.9095787992
"Cell250","Cell250","Batch2","Patient28","Channel2","HospMild_COVID",92272.3785297843
"Cell251","Cell251","Batch2","Patient15","Channel2","HospMild_COVID",100644.993918931
"Cell252","Cell252","Batch2","Patient19","Channel2","HospMild_COVID",76678.6471523373
"Cell253","Cell253","Batch2","Patient20","Channel2","Healthy",53595.6040754326
"Cell254","Cell254","Batch2","Patient21","Channel2","Flu",41507.6596459463
"Cell255","Cell255","Batch2","Patient21","Channel2","Flu",88152.9938345834
"Cell256","Cell256","Batch2","Patient26","Channel2","Flu",49392.9310744488
"Cell257","Cell257","Batch2","Patient26","Channel2","Healthy",46218.7792914972
"Cell258","Cell258","Batch2","Patient27","Channel2","Severe_COVID",56932.0157726247
"Cell259","Cell259","Batch2","Patient15","Channel2","Healthy",58641.457328753
"Cell260","Cell260","Batch2","Patient21","Channel2","Severe_COVID",46418.7722900602
"Cell261","Cell261","Batch2","Patient23","Channel2","HcwMild_COVID",71842.1677424859
"Cell262","Cell262","Batch2","Patient20","Channel2","HcwMild_COVID",61014.9527717631
"Cell263","Cell263","Batch2","Patient19","Channel2","HospMild_COVID",43719.8648147084
"Cell264","Cell264","Batch2","Patient19","Channel2","Flu",53131.0864058854
"Cell265","Cell265","Batch2","Patient15","Channel2","HospMild_COVID",72006.3815913489
"Cell266","Cell266","Batch2","Patient16","Channel2","Healthy",74521.4991469591
"Cell267","Cell267","Batch2","Patient23","Channel2","Flu",57500.8025980445
"Cell268","Cell268","Batch2","Patient28","Channel2","Severe_COVID",60500.0317397437
"Cell269","Cell269","Batch2","Patient24","Channel2","Severe_COVID",74553.2536608758
"Cell270","Cell270","Batch2","Patient26","Channel2","Flu",57106.516248536
"Cell271","Cell271","Batch2","Patient28","Channel2","Flu",76286.0607671778
"Cell272","Cell272","Batch2","Patient28","Channel2","HcwMild_COVID",94026.8654966934
"Cell273","Cell273","Batch2","Patient18","Channel2","Severe_COVID",73754.5656891601
"Cell274","Cell274","Batch2","Patient16","Channel2","HospMild_COVID",51113.5599930043
"Cell275","Cell275","Batch2","Patient17","Channel2","Severe_COVID",62744.819839128
"Cell276","Cell276","Batch2","Patient15","Channel2","Severe_COVID",75228.3875390139
"Cell277","Cell277","Batch2","Patient19","Channel2","HospMild_COVID",70476.5999698271
"Cell278","Cell278","Batch2","Patient20","Channel2","HcwMild_COVID",89470.8246929775
"Cell279","Cell279","Batch2","Patient15","Channel2","Flu",63283.8040063959
"Cell280","Cell280","Batch2","Patient19","Channel2","Severe_COVID",62590.6517137599
"Cell281","Cell281","Batch3","Patient30","Channel3","Flu",53793.8753768474
"Cell282","Cell282","Batch3","Patient36","Channel3","Flu",53425.8819637283
"Cell283","Cell283","Batch3","Patient31","Channel3","Flu",44676.0795808605
"Cell284","Cell284","Batch3","Patient41","Channel3","HcwMild_COVID",54613.5391094401
"Cell285","Cell285","Batch3","Patient39","Channel3","Flu",66893.8626849373
"Cell286","Cell286","Batch3","Patient40","Channel3","Severe_COVID",47190.1241676823
"Cell287","Cell287","Batch3","Patient38","Channel3","Healthy",54146.9910192419
"Cell288","Cell288","Batch3","Patient42","Channel3","Severe_COVID",82418.039250873
"Cell289","Cell289","Batch3","Patient39","Channel3","HospMild_COVID",59689.6576795192
"Cell290","Cell290","Batch3","Patient36","Channel3","Healthy",51666.6468025248
"Cell291","Cell291","Batch3","Patient33","Channel3","HospMild_COVID",76766.1258585707
"Cell292","Cell292","Batch3","Patient38","Channel3","Flu",88522.1186550587
"Cell293","Cell293","Batch3","Patient30","Channel3","HcwMild_COVID",51259.2246683516
"Cell294","Cell294","Batch3","Patient31","Channel3","HospMild_COVID",71708.542402804
"Cell295","Cell295","Batch3","Patient32","Channel3","Severe_COVID",88473.6767385666
"Cell296","Cell296","Batch3","Patient39","Channel3","HospMild_COVID",90907.5204293537
"Cell297","Cell297","Batch3","Patient36","Channel3","HospMild_COVID",77515.928881389
"Cell298","Cell298","Batch3","Patient41","Channel3","Healthy",70168.497755508
"Cell299","Cell299","Batch3","Patient30","Channel3","Flu",70070.5013051704
"Cell300","Cell300","Batch3","Patient34","Channel3","Severe_COVID",63784.9868927177
"Cell301","Cell301","Batch3","Patient38","Channel3","Severe_COVID",35233.494764379
"Cell302","Cell302","Batch3","Patient30","Channel3","Healthy",44887.2098070361
"Cell303","Cell303","Batch3","Patient30","Channel3","Flu",38384.0842552658
"Cell304","Cell304","Batch3","Patient38","Channel3","Severe_COVID",66474.842713331
"Cell305","Cell305","Batch3","Patient34","Channel3","Severe_COVID",44606.6673035196
"Cell306","Cell306","Batch3","Patient41","Channel3","Flu",86933.0564360097
"Cell307","Cell307","Batch3","Patient29","Channel3","HcwMild_COVID",77219.7927478674
"Cell308","Cell308","Batch3","Patient35","Channel3","HospMild_COVID",122682.534497321
"Cell309","Cell309","Batch3","Patient36","Channel3","Healthy",66678.2345158224
"Cell310","Cell310","Batch3","Patient31","Channel3","HcwMild_COVID",72115.6907684867
"Cell311","Cell311","Batch3","Patient31","Channel3","Healthy",101847.249905491
"Cell312","Cell312","Batch3","Patient29","Channel3","HcwMild_COVID",54130.8366308193
"Cell313","Cell313","Batch3","Patient38","Channel3","Severe_COVID",107788.703246593
"Cell314","Cell314","Batch3","Patient31","Channel3","Severe_COVID",98066.0977157716
"Cell315","Cell315","Batch3","Patient39","Channel3","Flu",85609.6573522979
"Cell316","Cell316","Batch3","Patient40","Channel3","HospMild_COVID",90335.4150950885
"Cell317","Cell317","Batch3","Patient36","Channel3","HospMild_COVID",76502.3499817868
"Cell318","Cell318","Batch3","Patient42","Channel3","HospMild_COVID",129816.334177657
"Cell319","Cell319","Batch3","Patient38","Channel3","HcwMild_COVID",54307.7004527187
"Cell320","Cell320","Batch3","Patient39","Channel3","Severe_COVID",57810.9379170463
"Cell321","Cell321","Batch3","Patient42","Channel3","Flu",56663.9747271931
"Cell322","Cell322","Batch3","Patient40","Channel3","HospMild_COVID",64730.2072683444
"Cell323","Cell323","Batch3","Patient36","Channel3","Severe_COVID",40603.3364901748
"Cell324","Cell324","Batch3","Patient35","Channel3","HospMild_COVID",66299.1235559371
"Cell325","Cell325","Batch3","Patient33","Channel3","Healthy",53149.1433610458
"Cell326","Cell326","Batch3","Patient34","Channel3","HospMild_COVID",50301.1099318159
"Cell327","Cell327","Batch3","Patient41","Channel3","HospMild_COVID",70462.0858938257
"Cell328","Cell328","Batch3","Patient34","Channel3","HcwMild_COVID",27726.9558133787
"Cell329","Cell329","Batch3","Patient30","Channel3","Healthy",50799.3450590407
"Cell330","Cell330","Batch3","Patient39","Channel3","Severe_COVID",65405.5969966691
"Cell331","Cell331","Batch3","Patient33","Channel3","HospMild_COVID",43320.9729684604
"Cell332","Cell332","Batch3","Patient36","Channel3","Flu",67397.6131469132
"Cell333","Cell333","Batch3","Patient32","Channel3","HcwMild_COVID",56670.8605754234
"Cell334","Cell334","Batch3","Patient33","Channel3","HospMild_COVID",71314.3688303486
"Cell335","Cell335","Batch3","Patient34","Channel3","Flu",32394.1010454474
"Cell336","Cell336","Batch3","Patient37","Channel3","HcwMild_COVID",58064.6784141016
"Cell337","Cell337","Batch3","Patient38","Channel3","HospMild_COVID",83854.3607108919
"Cell338","Cell338","Batch3","Patient31","Channel3","HospMild_COVID",96876.3084201391
"Cell339","Cell339","Batch3","Patient40","Channel3","Healthy",94359.7251384208
