"","Cell","Batch","Patient","Channel","Group","ExpLibSize"
"Cell28","Cell28","Batch1","Patient7","Channel1","Group3",79160.895558228
"Cell29","Cell29","Batch1","Patient4","Channel1","Group1",65488.0030261024
"Cell30","Cell30","Batch1","Patient3","Channel1","Group5",45454.1477452628
"Cell31","Cell31","Batch1","Patient5","Channel1","Group4",59042.793559544
"Cell32","Cell32","Batch1","Patient11","Channel1","Group3",92188.2165663821
"Cell33","Cell33","Batch1","Patient7","Channel1","Group5",60029.5707430068
"Cell34","Cell34","Batch1","Patient1","Channel1","Group2",55057.955365955
"Cell35","Cell35","Batch1","Patient3","Channel1","Group5",81756.7770998717
"Cell36","Cell36","Batch1","Patient3","Channel1","Group4",69808.1843877269
"Cell37","Cell37","Batch1","Patient14","Channel1","Group4",47703.4344199872
"Cell38","Cell38","Batch1","Patient13","Channel1","Group2",68621.4656347477
"Cell39","Cell39","Batch1","Patient7","Channel1","Group4",71210.3121479532
"Cell40","Cell40","Batch1","Patient8","Channel1","Group4",51791.0393262496
"Cell41","Cell41","Batch1","Patient5","Channel1","Group3",42100.2122967274
"Cell42","Cell42","Batch1","Patient12","Channel1","Group2",67965.4692351802
"Cell43","Cell43","Batch1","Patient14","Channel1","Group1",54279.1742395252
"Cell44","Cell44","Batch1","Patient2","Channel1","Group3",47529.5407517496
"Cell45","Cell45","Batch1","Patient4","Channel1","Group2",63128.8347635978
"Cell46","Cell46","Batch1","Patient14","Channel1","Group4",54391.1675214307
"Cell47","Cell47","Batch1","Patient11","Channel1","Group3",57477.3003686433
"Cell48","Cell48","Batch1","Patient2","Channel1","Group5",56412.1005299421
"Cell49","Cell49","Batch1","Patient3","Channel1","Group4",43111.183258438
"Cell50","Cell50","Batch1","Patient8","Channel1","Group5",112840.277701186
"Cell51","Cell51","Batch1","Patient13","Channel1","Group2",34667.7370894531
"Cell52","Cell52","Batch1","Patient5","Channel1","Group1",44491.4795128382
"Cell53","Cell53","Batch1","Patient4","Channel1","Group5",78203.7915815741
"Cell54","Cell54","Batch1","Patient3","Channel1","Group3",65626.3093873094
"Cell55","Cell55","Batch1","Patient6","Channel1","Group5",56530.7332439595
"Cell56","Cell56","Batch1","Patient9","Channel1","Group2",84853.5933717227
"Cell57","Cell57","Batch1","Patient4","Channel1","Group5",43053.2876903881
"Cell58","Cell58","Batch1","Patient1","Channel1","Group5",54552.5119817202
"Cell59","Cell59","Batch1","Patient12","Channel1","Group1",26402.9345966346
"Cell60","Cell60","Batch1","Patient7","Channel1","Group1",74404.6633158503
"Cell61","Cell61","Batch1","Patient3","Channel1","Group4",69737.8016300658
"Cell62","Cell62","Batch1","Patient1","Channel1","Group4",53930.2103693498
"Cell63","Cell63","Batch1","Patient4","Channel1","Group3",59029.2865719955
"Cell64","Cell64","Batch1","Patient4","Channel1","Group2",40386.916877068
"Cell65","Cell65","Batch1","Patient10","Channel1","Group3",53863.4542913837
"Cell66","Cell66","Batch1","Patient7","Channel1","Group5",109248.968701724
"Cell67","Cell67","Batch1","Patient3","Channel1","Group4",74708.1653367346
"Cell68","Cell68","Batch1","Patient4","Channel1","Group2",138483.142827362
"Cell69","Cell69","Batch1","Patient6","Channel1","Group4",81990.5973109317
"Cell70","Cell70","Batch1","Patient1","Channel1","Group2",79857.1752414541
"Cell71","Cell71","Batch1","Patient5","Channel1","Group1",65138.056256334
"Cell72","Cell72","Batch1","Patient7","Channel1","Group1",39919.8591896319
"Cell73","Cell73","Batch1","Patient11","Channel1","Group2",55804.2517892275
"Cell74","Cell74","Batch1","Patient3","Channel1","Group4",63401.8128988621
"Cell75","Cell75","Batch1","Patient1","Channel1","Group5",51861.5085121526
"Cell76","Cell76","Batch1","Patient8","Channel1","Group4",48959.7237084766
"Cell77","Cell77","Batch1","Patient8","Channel1","Group3",36007.8962166282
"Cell78","Cell78","Batch1","Patient3","Channel1","Group1",69336.9192560858
"Cell79","Cell79","Batch1","Patient4","Channel1","Group5",47782.7654796045
"Cell80","Cell80","Batch1","Patient4","Channel1","Group1",43386.2512124267
"Cell81","Cell81","Batch1","Patient12","Channel1","Group3",117536.881829556
"Cell82","Cell82","Batch1","Patient3","Channel1","Group5",46249.5847960018
"Cell83","Cell83","Batch1","Patient13","Channel1","Group2",100175.273660459
"Cell84","Cell84","Batch1","Patient3","Channel1","Group1",68083.025709524
"Cell85","Cell85","Batch1","Patient2","Channel1","Group2",44197.9026236447
"Cell86","Cell86","Batch1","Patient1","Channel1","Group3",69261.1048092567
"Cell87","Cell87","Batch1","Patient8","Channel1","Group3",68984.9878034813
"Cell88","Cell88","Batch1","Patient4","Channel1","Group2",59964.9777228608
"Cell89","Cell89","Batch1","Patient10","Channel1","Group1",36922.8696657149
"Cell90","Cell90","Batch1","Patient3","Channel1","Group5",74171.8034682435
"Cell91","Cell91","Batch1","Patient4","Channel1","Group3",96133.0091597153
"Cell92","Cell92","Batch1","Patient1","Channel1","Group2",60756.508925609
"Cell93","Cell93","Batch1","Patient2","Channel1","Group1",45378.3897520376
"Cell94","Cell94","Batch1","Patient1","Channel1","Group3",64855.5267676232
"Cell95","Cell95","Batch1","Patient14","Channel1","Group5",42910.0147944851
"Cell96","Cell96","Batch1","Patient7","Channel1","Group4",52970.3314807173
"Cell97","Cell97","Batch1","Patient5","Channel1","Group4",52392.6750420185
"Cell98","Cell98","Batch1","Patient4","Channel1","Group5",66535.2951284923
"Cell99","Cell99","Batch1","Patient12","Channel1","Group5",41191.1487303145
"Cell100","Cell100","Batch1","Patient9","Channel1","Group4",79185.3253835863
"Cell101","Cell101","Batch1","Patient5","Channel1","Group1",73242.3774701476
"Cell102","Cell102","Batch1","Patient3","Channel1","Group1",55839.0846427517
"Cell103","Cell103","Batch1","Patient5","Channel1","Group2",115436.983615299
"Cell104","Cell104","Batch1","Patient4","Channel1","Group5",85654.5818734157
"Cell105","Cell105","Batch1","Patient9","Channel1","Group5",83279.0768890395
"Cell106","Cell106","Batch1","Patient4","Channel1","Group1",59231.050021128
"Cell107","Cell107","Batch1","Patient13","Channel1","Group4",42239.1632406335
"Cell108","Cell108","Batch1","Patient3","Channel1","Group3",63914.4403021016
"Cell109","Cell109","Batch1","Patient5","Channel1","Group3",55762.9981105622
"Cell110","Cell110","Batch1","Patient7","Channel1","Group2",47555.8152359562
"Cell111","Cell111","Batch1","Patient1","Channel1","Group3",60415.9038606951
"Cell112","Cell112","Batch1","Patient10","Channel1","Group3",67421.4348217693
"Cell113","Cell113","Batch1","Patient3","Channel1","Group3",68302.9976105527
"Cell114","Cell114","Batch1","Patient4","Channel1","Group4",35768.0001275931
"Cell115","Cell115","Batch1","Patient11","Channel1","Group1",105908.740194491
"Cell116","Cell116","Batch1","Patient2","Channel1","Group2",40663.8671784574
"Cell117","Cell117","Batch1","Patient6","Channel1","Group5",47796.3496047277
"Cell118","Cell118","Batch1","Patient11","Channel1","Group4",48409.3879646281
"Cell119","Cell119","Batch1","Patient4","Channel1","Group4",49841.6063209877
"Cell120","Cell120","Batch1","Patient8","Channel1","Group2",76987.5694001318
"Cell121","Cell121","Batch1","Patient8","Channel1","Group1",48363.5945361731
"Cell122","Cell122","Batch1","Patient13","Channel1","Group5",57678.3121412217
"Cell123","Cell123","Batch1","Patient2","Channel1","Group5",46651.9846342192
"Cell124","Cell124","Batch1","Patient9","Channel1","Group3",43189.1516914366
"Cell125","Cell125","Batch1","Patient11","Channel1","Group5",81772.8371328433
"Cell126","Cell126","Batch1","Patient13","Channel1","Group4",78309.070815448
"Cell127","Cell127","Batch1","Patient9","Channel1","Group3",70700.1491433911
"Cell128","Cell128","Batch1","Patient8","Channel1","Group4",65979.6560980336
"Cell129","Cell129","Batch1","Patient1","Channel1","Group2",39401.7524906931
"Cell130","Cell130","Batch1","Patient6","Channel1","Group3",73175.3802177639
"Cell131","Cell131","Batch1","Patient11","Channel1","Group4",105088.76603485
"Cell132","Cell132","Batch1","Patient3","Channel1","Group2",75938.53719698
"Cell133","Cell133","Batch1","Patient6","Channel1","Group4",28331.7494734112
"Cell134","Cell134","Batch1","Patient6","Channel1","Group3",74023.179128293
"Cell135","Cell135","Batch1","Patient4","Channel1","Group5",62359.8434864223
"Cell136","Cell136","Batch1","Patient5","Channel1","Group5",25448.6314752733
"Cell137","Cell137","Batch1","Patient5","Channel1","Group1",41249.8491336513
"Cell138","Cell138","Batch1","Patient5","Channel1","Group3",58254.6898860349
"Cell139","Cell139","Batch1","Patient10","Channel1","Group4",84816.4165119328
"Cell140","Cell140","Batch1","Patient6","Channel1","Group4",42847.9858137223
"Cell141","Cell141","Batch2","Patient27","Channel2","Group3",79983.572142163
"Cell142","Cell142","Batch2","Patient23","Channel2","Group3",41120.7900718705
"Cell143","Cell143","Batch2","Patient18","Channel2","Group4",44863.0849687516
"Cell144","Cell144","Batch2","Patient16","Channel2","Group2",79938.4757111254
"Cell145","Cell145","Batch2","Patient22","Channel2","Group1",83354.7281683647
"Cell146","Cell146","Batch2","Patient19","Channel2","Group5",78310.8614173315
"Cell147","Cell147","Batch2","Patient21","Channel2","Group4",82166.1636971288
"Cell148","Cell148","Batch2","Patient20","Channel2","Group2",50466.502247069
"Cell149","Cell149","Batch2","Patient28","Channel2","Group2",74769.037126409
"Cell150","Cell150","Batch2","Patient17","Channel2","Group5",68517.31390046
"Cell151","Cell151","Batch2","Patient15","Channel2","Group4",111431.188632151
"Cell152","Cell152","Batch2","Patient27","Channel2","Group5",77870.10584878
"Cell153","Cell153","Batch2","Patient15","Channel2","Group2",91420.7351604557
"Cell154","Cell154","Batch2","Patient28","Channel2","Group3",32986.353896818
"Cell155","Cell155","Batch2","Patient25","Channel2","Group4",64998.0015969085
"Cell156","Cell156","Batch2","Patient28","Channel2","Group3",28088.212048535
"Cell157","Cell157","Batch2","Patient19","Channel2","Group1",45993.1859397115
"Cell158","Cell158","Batch2","Patient18","Channel2","Group1",74590.2810626181
"Cell159","Cell159","Batch2","Patient25","Channel2","Group1",59012.5567373533
"Cell160","Cell160","Batch2","Patient26","Channel2","Group1",99743.6781772791
"Cell161","Cell161","Batch2","Patient18","Channel2","Group2",80913.6255478404
"Cell162","Cell162","Batch2","Patient15","Channel2","Group1",72658.316515834
"Cell163","Cell163","Batch2","Patient18","Channel2","Group3",83243.895506151
"Cell164","Cell164","Batch2","Patient22","Channel2","Group1",51002.2360733056
"Cell165","Cell165","Batch2","Patient26","Channel2","Group2",49337.3329971944
"Cell166","Cell166","Batch2","Patient18","Channel2","Group2",74166.8519335259
"Cell167","Cell167","Batch2","Patient28","Channel2","Group4",103293.250054145
"Cell168","Cell168","Batch2","Patient20","Channel2","Group4",86784.0668581718
"Cell169","Cell169","Batch2","Patient20","Channel2","Group5",87055.3320043118
"Cell170","Cell170","Batch2","Patient17","Channel2","Group3",65807.2664285721
"Cell171","Cell171","Batch2","Patient21","Channel2","Group2",41343.4401592112
"Cell172","Cell172","Batch2","Patient28","Channel2","Group1",86610.1112142946
"Cell173","Cell173","Batch2","Patient27","Channel2","Group3",71186.715571176
"Cell174","Cell174","Batch2","Patient21","Channel2","Group1",93379.6844205363
"Cell175","Cell175","Batch2","Patient15","Channel2","Group2",54005.7046203971
"Cell176","Cell176","Batch2","Patient26","Channel2","Group3",49769.3771701747
"Cell177","Cell177","Batch2","Patient17","Channel2","Group2",43986.5446800488
"Cell178","Cell178","Batch2","Patient25","Channel2","Group3",65655.5613464399
"Cell179","Cell179","Batch2","Patient20","Channel2","Group5",45703.4541644673
"Cell180","Cell180","Batch2","Patient23","Channel2","Group4",59062.0329995549
"Cell181","Cell181","Batch2","Patient26","Channel2","Group3",57565.8709089825
"Cell182","Cell182","Batch2","Patient28","Channel2","Group4",48498.0567621576
"Cell183","Cell183","Batch2","Patient26","Channel2","Group2",42282.5994732135
"Cell184","Cell184","Batch2","Patient27","Channel2","Group5",45839.0854254414
"Cell185","Cell185","Batch2","Patient22","Channel2","Group4",62364.240047512
"Cell186","Cell186","Batch2","Patient16","Channel2","Group3",81740.5039966839
"Cell187","Cell187","Batch2","Patient20","Channel2","Group5",58223.0328055418
"Cell188","Cell188","Batch2","Patient24","Channel2","Group3",87281.3093492042
"Cell189","Cell189","Batch2","Patient21","Channel2","Group2",86062.5412580598
"Cell190","Cell190","Batch2","Patient22","Channel2","Group4",48121.5728357588
"Cell191","Cell191","Batch2","Patient21","Channel2","Group3",37541.3580124495
"Cell192","Cell192","Batch2","Patient27","Channel2","Group4",55274.4695598847
"Cell193","Cell193","Batch2","Patient19","Channel2","Group5",39620.0492049543
"Cell194","Cell194","Batch2","Patient23","Channel2","Group5",41872.602661226
"Cell195","Cell195","Batch2","Patient27","Channel2","Group1",79900.051039022
"Cell196","Cell196","Batch2","Patient21","Channel2","Group2",49489.376819161
"Cell197","Cell197","Batch2","Patient24","Channel2","Group5",40746.4855704612
"Cell198","Cell198","Batch2","Patient23","Channel2","Group4",28443.5429318488
"Cell199","Cell199","Batch2","Patient26","Channel2","Group2",34510.7355825742
"Cell200","Cell200","Batch2","Patient26","Channel2","Group4",56933.4201112763
"Cell201","Cell201","Batch2","Patient18","Channel2","Group2",108603.952298138
"Cell202","Cell202","Batch2","Patient19","Channel2","Group5",27612.2665643218
"Cell203","Cell203","Batch2","Patient15","Channel2","Group1",60942.0107663333
"Cell204","Cell204","Batch2","Patient20","Channel2","Group4",89707.7238624617
"Cell205","Cell205","Batch2","Patient26","Channel2","Group3",120190.957763869
"Cell206","Cell206","Batch2","Patient28","Channel2","Group2",72105.9538148339
"Cell207","Cell207","Batch2","Patient25","Channel2","Group2",76262.958844571
"Cell208","Cell208","Batch2","Patient18","Channel2","Group4",77095.4083617873
"Cell209","Cell209","Batch2","Patient26","Channel2","Group2",51585.4177307727
"Cell210","Cell210","Batch2","Patient19","Channel2","Group2",60090.65556795
"Cell211","Cell211","Batch2","Patient28","Channel2","Group1",60758.4870999486
"Cell212","Cell212","Batch2","Patient19","Channel2","Group3",49852.8607403804
"Cell213","Cell213","Batch2","Patient19","Channel2","Group2",69846.0213554838
"Cell214","Cell214","Batch2","Patient20","Channel2","Group1",43833.7896064859
"Cell215","Cell215","Batch2","Patient24","Channel2","Group2",42341.6812156258
"Cell216","Cell216","Batch2","Patient25","Channel2","Group4",39751.4016228016
"Cell217","Cell217","Batch2","Patient15","Channel2","Group2",56370.2031915363
"Cell218","Cell218","Batch2","Patient27","Channel2","Group3",39437.945888339
"Cell219","Cell219","Batch2","Patient23","Channel2","Group4",35479.3773859066
"Cell220","Cell220","Batch2","Patient18","Channel2","Group2",61556.5091950957
"Cell221","Cell221","Batch2","Patient17","Channel2","Group1",33234.2597958071
"Cell222","Cell222","Batch2","Patient21","Channel2","Group1",35605.7663628137
"Cell223","Cell223","Batch2","Patient26","Channel2","Group3",47198.551273553
"Cell224","Cell224","Batch2","Patient23","Channel2","Group3",97689.4015915025
"Cell225","Cell225","Batch2","Patient21","Channel2","Group5",67579.9385741834
"Cell226","Cell226","Batch2","Patient20","Channel2","Group5",56246.2758071569
"Cell227","Cell227","Batch2","Patient16","Channel2","Group1",57731.0740925934
"Cell228","Cell228","Batch2","Patient27","Channel2","Group5",76978.6005235691
"Cell229","Cell229","Batch2","Patient24","Channel2","Group3",52597.2865431347
"Cell230","Cell230","Batch2","Patient24","Channel2","Group5",66411.3013785599
"Cell231","Cell231","Batch2","Patient15","Channel2","Group5",74941.767839797
"Cell232","Cell232","Batch2","Patient23","Channel2","Group2",57387.7313728456
"Cell233","Cell233","Batch2","Patient26","Channel2","Group4",34625.3000936529
"Cell234","Cell234","Batch2","Patient18","Channel2","Group2",56943.0235292212
"Cell235","Cell235","Batch2","Patient24","Channel2","Group2",30441.6854799353
"Cell236","Cell236","Batch2","Patient18","Channel2","Group2",84418.9306740038
"Cell237","Cell237","Batch2","Patient23","Channel2","Group2",47554.0542503606
"Cell238","Cell238","Batch2","Patient23","Channel2","Group5",62639.6363942779
"Cell239","Cell239","Batch2","Patient16","Channel2","Group2",58674.1181281864
"Cell240","Cell240","Batch2","Patient25","Channel2","Group1",52739.7121109989
"Cell241","Cell241","Batch2","Patient25","Channel2","Group1",63416.7526845298
"Cell242","Cell242","Batch2","Patient27","Channel2","Group2",141390.317776357
"Cell243","Cell243","Batch2","Patient24","Channel2","Group1",41404.6998773249
"Cell244","Cell244","Batch2","Patient26","Channel2","Group1",54343.6740800178
"Cell245","Cell245","Batch2","Patient25","Channel2","Group2",57310.7824090821
"Cell246","Cell246","Batch2","Patient16","Channel2","Group5",62118.902483576
"Cell247","Cell247","Batch2","Patient19","Channel2","Group1",47438.6651173816
"Cell248","Cell248","Batch2","Patient19","Channel2","Group2",45660.232639509
"Cell249","Cell249","Batch2","Patient25","Channel2","Group2",61018.9095787992
"Cell250","Cell250","Batch2","Patient28","Channel2","Group2",92272.3785297843
"Cell251","Cell251","Batch2","Patient15","Channel2","Group2",100644.993918931
"Cell252","Cell252","Batch2","Patient19","Channel2","Group2",76678.6471523373
"Cell253","Cell253","Batch2","Patient20","Channel2","Group4",53595.6040754326
"Cell254","Cell254","Batch2","Patient21","Channel2","Group3",41507.6596459463
"Cell255","Cell255","Batch2","Patient21","Channel2","Group3",88152.9938345834
"Cell256","Cell256","Batch2","Patient26","Channel2","Group3",49392.9310744488
"Cell257","Cell257","Batch2","Patient26","Channel2","Group4",46218.7792914972
"Cell258","Cell258","Batch2","Patient27","Channel2","Group1",56932.0157726247
"Cell259","Cell259","Batch2","Patient15","Channel2","Group4",58641.457328753
"Cell260","Cell260","Batch2","Patient21","Channel2","Group1",46418.7722900602
"Cell261","Cell261","Batch2","Patient23","Channel2","Group5",71842.1677424859
"Cell262","Cell262","Batch2","Patient20","Channel2","Group5",61014.9527717631
"Cell263","Cell263","Batch2","Patient19","Channel2","Group2",43719.8648147084
"Cell264","Cell264","Batch2","Patient19","Channel2","Group3",53131.0864058854
"Cell265","Cell265","Batch2","Patient15","Channel2","Group2",72006.3815913489
"Cell266","Cell266","Batch2","Patient16","Channel2","Group4",74521.4991469591
"Cell267","Cell267","Batch2","Patient23","Channel2","Group3",57500.8025980445
"Cell268","Cell268","Batch2","Patient28","Channel2","Group1",60500.0317397437
"Cell269","Cell269","Batch2","Patient24","Channel2","Group1",74553.2536608758
"Cell270","Cell270","Batch2","Patient26","Channel2","Group3",57106.516248536
"Cell271","Cell271","Batch2","Patient28","Channel2","Group3",76286.0607671778
"Cell272","Cell272","Batch2","Patient28","Channel2","Group5",94026.8654966934
"Cell273","Cell273","Batch2","Patient18","Channel2","Group1",73754.5656891601
"Cell274","Cell274","Batch2","Patient16","Channel2","Group2",51113.5599930043
"Cell275","Cell275","Batch2","Patient17","Channel2","Group1",62744.819839128
"Cell276","Cell276","Batch2","Patient15","Channel2","Group1",75228.3875390139
"Cell277","Cell277","Batch2","Patient19","Channel2","Group2",70476.5999698271
"Cell278","Cell278","Batch2","Patient20","Channel2","Group5",89470.8246929775
"Cell279","Cell279","Batch2","Patient15","Channel2","Group3",63283.8040063959
"Cell280","Cell280","Batch2","Patient19","Channel2","Group1",62590.6517137599
"Cell281","Cell281","Batch3","Patient30","Channel3","Group3",53793.8753768474
"Cell282","Cell282","Batch3","Patient36","Channel3","Group3",53425.8819637283
"Cell283","Cell283","Batch3","Patient31","Channel3","Group3",44676.0795808605
"Cell284","Cell284","Batch3","Patient41","Channel3","Group5",54613.5391094401
"Cell285","Cell285","Batch3","Patient39","Channel3","Group3",66893.8626849373
"Cell286","Cell286","Batch3","Patient40","Channel3","Group1",47190.1241676823
"Cell287","Cell287","Batch3","Patient38","Channel3","Group4",54146.9910192419
"Cell288","Cell288","Batch3","Patient42","Channel3","Group1",82418.039250873
"Cell289","Cell289","Batch3","Patient39","Channel3","Group2",59689.6576795192
"Cell290","Cell290","Batch3","Patient36","Channel3","Group4",51666.6468025248
"Cell291","Cell291","Batch3","Patient33","Channel3","Group2",76766.1258585707
"Cell292","Cell292","Batch3","Patient38","Channel3","Group3",88522.1186550587
"Cell293","Cell293","Batch3","Patient30","Channel3","Group5",51259.2246683516
"Cell294","Cell294","Batch3","Patient31","Channel3","Group2",71708.542402804
"Cell295","Cell295","Batch3","Patient32","Channel3","Group1",88473.6767385666
"Cell296","Cell296","Batch3","Patient39","Channel3","Group2",90907.5204293537
"Cell297","Cell297","Batch3","Patient36","Channel3","Group2",77515.928881389
"Cell298","Cell298","Batch3","Patient41","Channel3","Group4",70168.497755508
"Cell299","Cell299","Batch3","Patient30","Channel3","Group3",70070.5013051704
"Cell300","Cell300","Batch3","Patient34","Channel3","Group1",63784.9868927177
"Cell301","Cell301","Batch3","Patient38","Channel3","Group1",35233.494764379
"Cell302","Cell302","Batch3","Patient30","Channel3","Group4",44887.2098070361
"Cell303","Cell303","Batch3","Patient30","Channel3","Group3",38384.0842552658
"Cell304","Cell304","Batch3","Patient38","Channel3","Group1",66474.842713331
"Cell305","Cell305","Batch3","Patient34","Channel3","Group1",44606.6673035196
"Cell306","Cell306","Batch3","Patient41","Channel3","Group3",86933.0564360097
"Cell307","Cell307","Batch3","Patient29","Channel3","Group5",77219.7927478674
"Cell308","Cell308","Batch3","Patient35","Channel3","Group2",122682.534497321
"Cell309","Cell309","Batch3","Patient36","Channel3","Group4",66678.2345158224
"Cell310","Cell310","Batch3","Patient31","Channel3","Group5",72115.6907684867
"Cell311","Cell311","Batch3","Patient31","Channel3","Group4",101847.249905491
"Cell312","Cell312","Batch3","Patient29","Channel3","Group5",54130.8366308193
"Cell313","Cell313","Batch3","Patient38","Channel3","Group1",107788.703246593
"Cell314","Cell314","Batch3","Patient31","Channel3","Group1",98066.0977157716
"Cell315","Cell315","Batch3","Patient39","Channel3","Group3",85609.6573522979
"Cell316","Cell316","Batch3","Patient40","Channel3","Group2",90335.4150950885
"Cell317","Cell317","Batch3","Patient36","Channel3","Group2",76502.3499817868
"Cell318","Cell318","Batch3","Patient42","Channel3","Group2",129816.334177657
"Cell319","Cell319","Batch3","Patient38","Channel3","Group5",54307.7004527187
"Cell320","Cell320","Batch3","Patient39","Channel3","Group1",57810.9379170463
"Cell321","Cell321","Batch3","Patient42","Channel3","Group3",56663.9747271931
"Cell322","Cell322","Batch3","Patient40","Channel3","Group2",64730.2072683444
"Cell323","Cell323","Batch3","Patient36","Channel3","Group1",40603.3364901748
"Cell324","Cell324","Batch3","Patient35","Channel3","Group2",66299.1235559371
"Cell325","Cell325","Batch3","Patient33","Channel3","Group4",53149.1433610458
"Cell326","Cell326","Batch3","Patient34","Channel3","Group2",50301.1099318159
"Cell327","Cell327","Batch3","Patient41","Channel3","Group2",70462.0858938257
"Cell328","Cell328","Batch3","Patient34","Channel3","Group5",27726.9558133787
"Cell329","Cell329","Batch3","Patient30","Channel3","Group4",50799.3450590407
"Cell330","Cell330","Batch3","Patient39","Channel3","Group1",65405.5969966691
"Cell331","Cell331","Batch3","Patient33","Channel3","Group2",43320.9729684604
"Cell332","Cell332","Batch3","Patient36","Channel3","Group3",67397.6131469132
"Cell333","Cell333","Batch3","Patient32","Channel3","Group5",56670.8605754234
"Cell334","Cell334","Batch3","Patient33","Channel3","Group2",71314.3688303486
"Cell335","Cell335","Batch3","Patient34","Channel3","Group3",32394.1010454474
"Cell336","Cell336","Batch3","Patient37","Channel3","Group5",58064.6784141016
"Cell337","Cell337","Batch3","Patient38","Channel3","Group2",83854.3607108919
"Cell338","Cell338","Batch3","Patient31","Channel3","Group2",96876.3084201391
"Cell339","Cell339","Batch3","Patient40","Channel3","Group4",94359.7251384208
"Cell340","Cell340","Batch3","Patient42","Channel3","Group1",65680.0166206703
"Cell341","Cell341","Batch3","Patient31","Channel3","Group3",36411.2885503215
"Cell342","Cell342","Batch3","Patient37","Channel3","Group4",51188.0075196252
"Cell343","Cell343","Batch3","Patient35","Channel3","Group3",70077.779001997
"Cell344","Cell344","Batch3","Patient41","Channel3","Group3",41838.753123817
"Cell345","Cell345","Batch3","Patient42","Channel3","Group5",73239.2705480942
"Cell346","Cell346","Batch3","Patient30","Channel3","Group4",60069.5110897926
"Cell347","Cell347","Batch3","Patient29","Channel3","Group1",68959.4159860056
"Cell348","Cell348","Batch3","Patient37","Channel3","Group5",59253.8408847052
"Cell349","Cell349","Batch3","Patient42","Channel3","Group5",62417.4132827599
"Cell350","Cell350","Batch3","Patient39","Channel3","Group4",93671.8695941748
"Cell351","Cell351","Batch3","Patient40","Channel3","Group3",50385.5635985057
"Cell352","Cell352","Batch3","Patient41","Channel3","Group5",75755.1716486563
"Cell353","Cell353","Batch3","Patient34","Channel3","Group3",57976.5991467482
"Cell354","Cell354","Batch3","Patient41","Channel3","Group2",57089.9156312474
"Cell355","Cell355","Batch3","Patient40","Channel3","Group5",70406.5902173241
"Cell356","Cell356","Batch3","Patient33","Channel3","Group3",65658.9410736111
"Cell357","Cell357","Batch3","Patient30","Channel3","Group3",61268.0820069272
"Cell358","Cell358","Batch3","Patient30","Channel3","Group1",91870.1961151265
"Cell359","Cell359","Batch3","Patient36","Channel3","Group3",41229.6277677664
"Cell360","Cell360","Batch3","Patient32","Channel3","Group5",41105.8743563338
"Cell361","Cell361","Batch3","Patient42","Channel3","Group2",88807.9780418787
"Cell362","Cell362","Batch3","Patient32","Channel3","Group2",39730.9606304085
"Cell363","Cell363","Batch3","Patient41","Channel3","Group5",68638.1752455777
"Cell364","Cell364","Batch3","Patient35","Channel3","Group3",61509.1722495586
"Cell365","Cell365","Batch3","Patient42","Channel3","Group4",58431.2703182405
"Cell366","Cell366","Batch3","Patient33","Channel3","Group3",71197.9880486094
"Cell367","Cell367","Batch3","Patient42","Channel3","Group3",58709.4346241085
"Cell368","Cell368","Batch3","Patient34","Channel3","Group1",57620.7235285699
